 3200  1.0000E-01
   i   x             den           ener          pres          vel           cs
  223  5.562500E-01  8.467668E-05  1.495977E+06  8.444957E+01  1.335000E+00  1.289262E+03
  224  5.587500E-01  8.640276E-05  1.466091E+06  8.444957E+01  1.341000E+00  1.276319E+03
  225  5.612500E-01  8.815609E-05  1.436933E+06  8.444957E+01  1.347000E+00  1.263563E+03
  226  5.637500E-01  8.993697E-05  1.408479E+06  8.444957E+01  1.353000E+00  1.250990E+03
  227  5.662500E-01  9.174570E-05  1.380712E+06  8.444958E+01  1.359000E+00  1.238598E+03
  228  5.687500E-01  9.358260E-05  1.353610E+06  8.444958E+01  1.365000E+00  1.226381E+03
  229  5.712500E-01  9.544798E-05  1.327156E+06  8.444958E+01  1.371000E+00  1.214338E+03
  230  5.737500E-01  9.734215E-05  1.301331E+06  8.444958E+01  1.377000E+00  1.202466E+03
  231  5.762500E-01  9.926543E-05  1.276118E+06  8.444959E+01  1.383000E+00  1.190760E+03
  232  5.787500E-01  1.012181E-04  1.251499E+06  8.444959E+01  1.389000E+00  1.179218E+03
  233  5.812500E-01  1.032006E-04  1.227458E+06  8.444959E+01  1.395000E+00  1.167837E+03
  234  5.837500E-01  1.052131E-04  1.203979E+06  8.444959E+01  1.401000E+00  1.156613E+03
  235  5.862500E-01  1.072560E-04  1.181047E+06  8.444960E+01  1.407000E+00  1.145545E+03
  236  5.887500E-01  1.093297E-04  1.158646E+06  8.444960E+01  1.413000E+00  1.134630E+03
  237  5.912500E-01  1.114343E-04  1.136763E+06  8.444960E+01  1.419000E+00  1.123864E+03
  238  5.937500E-01  1.135704E-04  1.115382E+06  8.444961E+01  1.425000E+00  1.113245E+03
  239  5.962500E-01  1.157382E-04  1.094491E+06  8.444961E+01  1.431001E+00  1.102770E+03
  240  5.987500E-01  1.179380E-04  1.074076E+06  8.444961E+01  1.437001E+00  1.092437E+03
  241  6.012500E-01  1.201702E-04  1.054125E+06  8.444961E+01  1.443001E+00  1.082243E+03
  242  6.037500E-01  1.224351E-04  1.034625E+06  8.444962E+01  1.449001E+00  1.072186E+03
  243  6.062500E-01  1.247331E-04  1.015564E+06  8.444962E+01  1.455001E+00  1.062264E+03
  244  6.087500E-01  1.270645E-04  9.969299E+05  8.444962E+01  1.461001E+00  1.052473E+03
  245  6.112500E-01  1.294297E-04  9.787124E+05  8.444963E+01  1.467001E+00  1.042813E+03
  246  6.137500E-01  1.318289E-04  9.609001E+05  8.444963E+01  1.473001E+00  1.033280E+03
  247  6.162500E-01  1.342627E-04  9.434824E+05  8.444964E+01  1.479001E+00  1.023872E+03
  248  6.187500E-01  1.367312E-04  9.264491E+05  8.444964E+01  1.485001E+00  1.014588E+03
  249  6.212500E-01  1.392348E-04  9.097901E+05  8.444964E+01  1.491001E+00  1.005424E+03
  250  6.237500E-01  1.417740E-04  8.934958E+05  8.444965E+01  1.497001E+00  9.963800E+02
  251  6.262500E-01  1.443490E-04  8.775567E+05  8.444965E+01  1.503001E+00  9.874528E+02
  252  6.287500E-01  1.469603E-04  8.619638E+05  8.444966E+01  1.509001E+00  9.786407E+02
  253  6.312500E-01  1.496082E-04  8.467082E+05  8.444966E+01  1.515001E+00  9.699417E+02
  254  6.337500E-01  1.522930E-04  8.317813E+05  8.444966E+01  1.521001E+00  9.613540E+02
  255  6.362500E-01  1.550152E-04  8.171748E+05  8.444967E+01  1.527001E+00  9.528756E+02
